backend,kernel,time_ms,gflops
cublas,cuBLAS,3.1242,44008
cutlass,warptiling_vectorize_mc_128x128x16x64x64x1x4x8x4,3.7878,36298
cutlass,double_buffering_128x128x16x64x64x1x4x8x4,3.7923,36255
cutlass,tiling_vectorize_mc_64x64x16x8x8,4.2858,32080
cutlass,warptiling_128x128x16x64x64x1x4x8x4,4.6323,29680
cuda,double_buffering_mc_128x128x16x64x64x1x4x8x4,4.7108,29186
cuda,warptiling_vectorize_mc_128x128x16x64x64x1x4x8x4,4.8349,28437
cutedsl,tiling_64x64x8x8x8,5.0792,27069
cuda,warptiling_mc_128x128x16x64x64x1x4x8x4,5.0882,27021
cutlass,tiling_mc_64x64x16x8x8,5.1030,26943
cuda,tiling_64x64x16x8x8,5.8032,23692
cutedsl,tiling_vectorize_128x128x16x8x8,5.9573,23079
cuda,tiling_vectorize_64x64x16x8x8,6.2621,21956
cutedsl,smem,23.3025,5900
cuda,smem,23.6583,5811
cutlass,smem_mc,23.7371,5792
cutedsl,naive,306.0284,449
cutlass,naive,306.1031,449
